"Date","Price"
08-09-2020,3.496
05-09-2020,3.516
04-09-2020,3.535
03-09-2020,3.559
02-09-2020,3.566
29-08-2020,3.574
28-08-2020,3.591
27-08-2020,3.601
26-08-2020,3.588
25-08-2020,3.575
22-08-2020,3.574
21-08-2020,3.593
20-08-2020,3.598
19-08-2020,3.604
18-08-2020,3.604
15-08-2020,3.612
14-08-2020,3.615
13-08-2020,3.610
12-08-2020,3.598
11-08-2020,3.597
08-08-2020,3.618
07-08-2020,3.634
06-08-2020,3.635
05-08-2020,3.611
04-08-2020,3.611
01-08-2020,3.607
31-07-2020,3.617
30-07-2020,3.624
29-07-2020,3.627
28-07-2020,3.631
25-07-2020,3.652
24-07-2020,3.660
23-07-2020,3.665
22-07-2020,3.658
21-07-2020,3.647
18-07-2020,3.644
17-07-2020,3.646
16-07-2020,3.647
15-07-2020,3.652
14-07-2020,3.653
11-07-2020,3.652
10-07-2020,3.660
09-07-2020,3.676
08-07-2020,3.671
07-07-2020,3.659
04-07-2020,3.642
03-07-2020,3.655
02-07-2020,3.640
01-07-2020,3.619
30-06-2020,3.605
27-06-2020,3.613
26-06-2020,3.632
25-06-2020,3.665
24-06-2020,3.691
23-06-2020,3.687
20-06-2020,3.642
19-06-2020,3.626
18-06-2020,3.610
17-06-2020,3.595
16-06-2020,3.588
13-06-2020,3.585
11-06-2020,3.610
10-06-2020,3.591
09-06-2020,3.581
06-06-2020,3.554
05-06-2020,3.524
04-06-2020,3.525
03-06-2020,3.506
02-06-2020,3.483
30-05-2020,3.472
29-05-2020,3.482
28-05-2020,3.492
27-05-2020,3.507
23-05-2020,3.512
22-05-2020,3.512
21-05-2020,3.512
20-05-2020,3.491
19-05-2020,3.441
16-05-2020,3.350
15-05-2020,3.312
14-05-2020,3.300
13-05-2020,3.306
12-05-2020,3.301
08-05-2020,3.284
07-05-2020,3.250
06-05-2020,3.236
05-05-2020,3.181
01-05-2020,3.182
30-04-2020,3.142
29-04-2020,3.121
28-04-2020,3.150
25-04-2020,3.166
24-04-2020,3.199
23-04-2020,3.194
22-04-2020,3.267
21-04-2020,3.315
18-04-2020,3.336
17-04-2020,3.325
16-04-2020,3.331
15-04-2020,3.381
10-04-2020,3.421
09-04-2020,3.432
08-04-2020,3.454
07-04-2020,3.432
04-04-2020,3.408
03-04-2020,3.386
02-04-2020,3.397
01-04-2020,3.426
31-03-2020,3.437
28-03-2020,3.463
27-03-2020,3.481
26-03-2020,3.473
25-03-2020,3.468
24-03-2020,3.438
21-03-2020,3.440
20-03-2020,3.420
19-03-2020,3.404
18-03-2020,3.458
17-03-2020,3.509
14-03-2020,3.551
13-03-2020,3.560
12-03-2020,3.670
11-03-2020,3.731
10-03-2020,3.797
07-03-2020,3.866
06-03-2020,3.899
05-03-2020,3.908
04-03-2020,3.909
03-03-2020,3.921
29-02-2020,3.897
28-02-2020,3.918
27-02-2020,3.986
26-02-2020,4.045
25-02-2020,4.083
22-02-2020,4.103
21-02-2020,4.119
20-02-2020,4.083
19-02-2020,4.066
18-02-2020,4.067
15-02-2020,4.067
14-02-2020,4.047
13-02-2020,4.030
12-02-2020,4.020
11-02-2020,4.024
08-02-2020,4.037
07-02-2020,4.009
06-02-2020,4.024
05-02-2020,4.016
04-02-2020,4.033
01-02-2020,4.076
31-01-2020,4.066
30-01-2020,4.114
29-01-2020,4.113
28-01-2020,4.115
25-01-2020,4.147
24-01-2020,4.179
23-01-2020,4.184
22-01-2020,4.228
21-01-2020,4.223
18-01-2020,4.212
17-01-2020,4.237
16-01-2020,4.251
15-01-2020,4.268
14-01-2020,4.284
11-01-2020,4.355
10-01-2020,4.382
09-01-2020,4.416
08-01-2020,4.426
04-01-2020,4.449
03-01-2020,4.424
01-01-2020,4.428
31-12-2019,4.449
28-12-2019,4.462
24-12-2019,4.421
21-12-2019,4.404
20-12-2019,4.398
19-12-2019,4.377
18-12-2019,4.349
17-12-2019,4.330
14-12-2019,4.314
13-12-2019,4.308
12-12-2019,4.322
11-12-2019,4.340
10-12-2019,4.324
07-12-2019,4.311
06-12-2019,4.302
05-12-2019,4.295
04-12-2019,4.294
03-12-2019,4.310
30-11-2019,4.317
29-11-2019,4.328
28-11-2019,4.320
27-11-2019,4.320
26-11-2019,4.297
23-11-2019,4.281
22-11-2019,4.268
21-11-2019,4.269
20-11-2019,4.272
19-11-2019,4.284
16-11-2019,4.306
15-11-2019,4.286
14-11-2019,4.254
13-11-2019,4.254
09-11-2019,4.248
08-11-2019,4.243
07-11-2019,4.245
06-11-2019,4.244
05-11-2019,4.241
01-11-2019,4.228
31-10-2019,4.251
30-10-2019,4.261
29-10-2019,4.263
26-10-2019,4.270
25-10-2019,4.272
24-10-2019,4.246
23-10-2019,4.244
22-10-2019,4.245
19-10-2019,4.254
18-10-2019,4.264
17-10-2019,4.268
16-10-2019,4.269
15-10-2019,4.278
12-10-2019,4.286
11-10-2019,4.278
10-10-2019,4.281
09-10-2019,4.276
08-10-2019,4.278
05-10-2019,4.282
04-10-2019,4.294
03-10-2019,4.313
02-10-2019,4.331
01-10-2019,4.336
28-09-2019,4.364
27-09-2019,4.360
26-09-2019,4.373
25-09-2019,4.386
24-09-2019,4.406
21-09-2019,4.414
20-09-2019,4.424
19-09-2019,4.401
18-09-2019,4.389
17-09-2019,4.372
14-09-2019,4.307
13-09-2019,4.317
12-09-2019,4.358
11-09-2019,4.352
10-09-2019,4.330
07-09-2019,4.316
06-09-2019,4.315
05-09-2019,4.307
04-09-2019,4.291
03-09-2019,4.298
31-08-2019,4.302
30-08-2019,4.299
29-08-2019,4.270
28-08-2019,4.262
24-08-2019,4.270
23-08-2019,4.284
22-08-2019,4.288
21-08-2019,4.272
20-08-2019,4.263
17-08-2019,4.263
15-08-2019,4.240
14-08-2019,4.243
13-08-2019,4.190
10-08-2019,4.186
09-08-2019,4.183
08-08-2019,4.233
07-08-2019,4.274
06-08-2019,4.294
03-08-2019,4.310
02-08-2019,4.323
01-08-2019,4.334
31-07-2019,4.308
30-07-2019,4.281
27-07-2019,4.276
26-07-2019,4.277
25-07-2019,4.283
24-07-2019,4.230
23-07-2019,4.227
20-07-2019,4.198
19-07-2019,4.208
18-07-2019,4.260
17-07-2019,4.285
16-07-2019,4.286
13-07-2019,4.273
12-07-2019,4.244
11-07-2019,4.222
10-07-2019,4.204
09-07-2019,4.199
06-07-2019,4.192
05-07-2019,4.189
04-07-2019,4.187
03-07-2019,4.196
02-07-2019,4.227
29-06-2019,4.227
28-06-2019,4.225
27-06-2019,4.217
26-06-2019,4.201
25-06-2019,4.187
22-06-2019,4.189
20-06-2019,4.157
19-06-2019,4.146
18-06-2019,4.139
15-06-2019,4.135
14-06-2019,4.124
13-06-2019,4.111
12-06-2019,4.134
11-06-2019,4.131
08-06-2019,4.126
07-06-2019,4.109
06-06-2019,4.103
05-06-2019,4.165
04-06-2019,4.176
01-06-2019,4.238
